name,geometry
LSD5 ERISWIL,"47 05 27 N / 008 04 47 E - 47 08 08 N / 007 53 47 E - 47 06 59 N / 007 41 17 E - 47 03 35 N / 007 38 25 E - 46 56 17 N / 007 46 56 E - 46 57 07 N / 008 01 18 E - 47 05 27 N / 008 04 47 E"
LSD10 BREIL/BRIGELS,"CIRCLE(46 45 33 N / 009 05 17 E, 5.4)"
